Date,Idx_Price,Idx_Returns,Idx_Exc,Idx_MCap,Idx_Count
2002-08-31,1257.87,0.026522601336739005,0.025105934670072338,1666173.29,3580
2002-09-30,1281.86,0.019071923171710914,0.01773858983837758,1701668.57,3586
2002-10-31,1264.65,-0.013425803129826774,-0.014659136463160107,1673274.91,3574
2002-11-30,1284.43,0.015640691100304416,0.01459902443363775,1685374.02,3535
2002-12-31,1323.64,0.03052715990750765,0.02952715990750765,1736694.47,3530
2003-01-31,1329.21,0.004208092834909749,0.003233092834909749,1756007.54,3562
2003-02-28,1356.52,0.02054603862444604,0.019537705291112706,1792048.18,3574
2003-03-31,1357.1,0.0004275646507239106,-0.000539102015942756,1799942.77,3595
2003-04-30,1384.19,0.019961683000515817,0.01902001633384915,1835933.63,3606
2003-05-31,1429.05,0.03240884560645574,0.031442178939789074,1906802.89,3653
2003-06-30,1425.79,-0.0022812357860116927,-0.002956235786011693,1893151.93,3643
2003-07-31,1363.85,-0.04344258270853352,-0.04420091604186685,1802567.31,3650
2003-08-31,1375.19,0.008314697364079748,0.007498030697413081,1803059.14,3623
2003-09-30,1424.43,0.035805961358066796,0.03508096135806679,1782074.64,3091
2003-10-31,1409.45,-0.010516487296673094,-0.011316487296673094,1773743.84,3123
2003-11-30,1416.61,0.005079995743020316,0.004279995743020315,1785593.35,3138
2003-12-31,1432.74,0.011386337806453595,0.010636337806453594,1809447.02,3158
2004-01-31,1447.76,0.01048340941133774,0.009775076078004407,1820078.84,3165
2004-02-29,1465.79,0.012453721611316748,0.011662054944650082,1838538.09,3181
2004-03-31,1479.63,0.009442007381684991,0.008642007381684991,1875635.71,3225
2004-04-30,1433.11,-0.03144029250555891,-0.032131959172225576,1808725.09,3219
2004-05-31,1422.74,-0.007236011192441549,-0.008019344525774883,1779319.01,3198
2004-06-30,1429.02,0.004414018021563937,0.0034390180215639367,1627051.56,2529
2004-07-31,1446.8,0.012442093182740699,0.011383759849407366,1625601.8,2522
2004-08-31,1481.2,0.023776610450649827,0.022568277117316494,1647273.34,2521
2004-09-30,1490.32,0.00615716986227377,0.00493216986227377,1671240.32,2551
2004-10-31,1504.87,0.009763003918621393,0.008321337251954726,1690057.61,2562
2004-11-30,1489.56,-0.010173636260939478,-0.011898636260939479,1677848.14,2573
2004-12-31,1509.94,0.01368189263943731,0.01210689263943731,1696967.28,2575
2005-01-31,1521.97,0.007967203994860617,0.00625053732819395,1700706.54,2585
2005-02-28,1512.9,-0.005959381590964319,-0.008051048257630986,1678677.17,2584
2005-03-31,1492.85,-0.013252693502544877,-0.015444360169211543,1644056.86,2590
2005-04-30,1512.21,0.012968483102790085,0.010718483102790085,1649349.63,2580
2005-05-31,1533.0,0.013748090542980096,0.011414757209646763,1576092.26,2513
2005-06-30,1545.57,0.008199608610567566,0.0057079419439008995,1675531.15,2627
2005-07-31,1530.31,-0.00987338004749061,-0.012581713380823943,1655062.63,2633
2005-08-31,1553.74,0.015310623337755125,0.012468956671088459,1664123.52,2623
2005-09-30,1528.65,-0.016148132892247036,-0.018773132892247035,1638869.26,2640
2005-10-31,1511.0,-0.011546135479017505,-0.014687802145684173,1612634.68,2638
2005-11-30,1519.88,0.005876902713434884,0.0025435693801015504,1626145.3,2647
2005-12-31,1535.25,0.010112640471616086,0.006770973804949419,1608724.16,2631
2006-01-31,1532.02,-0.002103891874287611,-0.0057455585409542775,1618149.75,2645
2006-02-28,1538.94,0.004516912311849808,0.0007919123118498082,1623868.76,2649
2006-03-31,1517.25,-0.01409411672969707,-0.01796911672969707,1600160.66,2664
2006-04-30,1511.94,-0.0034997528423134083,-0.007333086175646741,1594885.32,2673
2006-05-31,1509.39,-0.0016865748640818579,-0.0056449081974151915,1601421.8,2694
2006-06-30,1511.29,0.001258786662161393,-0.0025245466711719404,1596239.97,2697
2006-07-31,1533.37,0.014610035135546484,0.01042670180221315,1613470.08,2695
2006-08-31,1561.94,0.018632163143925018,0.014365496477258351,1655579.77,2721
2006-09-30,1579.83,0.011453705007874682,0.007620371674541349,1683530.76,2744
2006-10-31,1592.61,0.008089477981808146,0.00377281131514148,1707181.5,2758
2006-11-30,1615.96,0.01466146765372578,0.01031146765372578,1743968.06,2777
2006-12-31,1601.26,-0.009096759820787725,-0.01305509315412106,1719543.56,2769
2007-01-31,1601.38,7.494098397509141e-05,-0.004091725682691575,1712211.01,2765
2007-02-28,1634.36,0.020594737039303368,0.0162280703726367,1735703.51,2750
2007-03-31,1624.99,-0.005733131011527393,-0.009958131011527392,1744257.77,2798
2007-04-30,1636.91,0.00733542975649093,0.00333542975649093,1759627.05,2800
2007-05-31,1620.55,-0.009994440745062394,-0.013977774078395728,1747350.0,2817
2007-06-30,1612.62,-0.004893400388756963,-0.00846006705542363,1751463.27,2858
2007-07-31,1616.35,0.002313006163882303,-0.001961993836117697,1747730.58,2847
2007-08-31,1629.43,0.008092306740495658,0.004742306740495659,1780637.54,2856
2007-09-30,1641.98,0.007702079868420197,0.004843746535086864,1842911.97,2908
2007-10-31,1661.7,0.01200989049805723,0.008668223831390563,1897943.67,2950
2007-11-30,1671.65,0.005987843774447832,0.002962843774447832,1929056.29,2966
2007-12-31,1674.29,0.0015792779589027806,-0.0007207220410972194,1978412.08,2994
2008-01-31,1691.33,0.010177448351241347,0.00881078168457468,2021740.01,3004
2008-02-29,1693.21,0.0011115512643895542,-0.0006134487356104458,2028404.25,3009
2008-03-31,1671.7,-0.012703681173628745,-0.01372034784029541,2016596.47,3046
2008-04-30,1686.99,0.009146377938625383,0.008171377938625383,2094961.79,3080
