Date,INS_TE_XGB,OOS_TE_XGB
2004-07-31,0.004705568705960761,
2004-08-31,0.0049052274151618605,0.0005414681385060537
2004-09-30,0.0047285204498740945,0.0019097927618053345
2004-10-31,0.0037063250534486126,0.0020257803944735246
2004-11-30,0.003879182747478311,0.0015101312344848947
2004-12-31,0.005881744936000749,0.004551152711367582
2005-01-31,0.004537273660320937,0.003913603858615821
2005-02-28,0.005150254727113196,0.004746709378092851
2005-03-31,0.004756254936287421,0.007903342609466141
2005-04-30,0.006713960058253682,0.013664456231882224
2005-05-31,0.004751783927479608,0.000804747927149822
2005-06-30,0.005541224472520368,0.003982936288432066
2005-07-31,0.0042021808988109135,0.0038217269795783066
2005-08-31,0.0036247659659717443,0.005338281741876755
2005-09-30,0.004421304532915982,0.008325040359583046
2005-10-31,0.0025833072742439222,0.0002518336169094453
2005-11-30,0.0032418258245451555,1.5612128635939925e-05
2005-12-31,0.01050710727858326,0.000984792585357869
2006-01-31,0.004608887649022557,0.00922335584683772
2006-02-28,0.002765356385122127,0.002875178798647209
2006-03-31,0.0034858264361912463,0.003946203186693904
2006-04-30,0.0032623952825865557,0.0025242201199872907
2006-05-31,0.003484135805756816,0.0016943815151507918
2006-06-30,0.002660227868174577,0.005952977377930083
2006-07-31,0.0023731634845723165,0.003910192237068896
2006-08-31,0.004427760489210401,0.0015523309581824563
2006-09-30,0.002357856631582818,0.003539556698068931
2006-10-31,0.0028322490874010463,0.0012582270833601198
2006-11-30,0.005344790673647043,0.0001995911957925929
2006-12-31,0.00512874961048542,0.004431735684522075
2007-01-31,0.00388492950739756,0.002148508603083566
2007-02-28,0.0031390051337789548,0.0028725035014588087
2007-03-31,0.003963093698629276,0.003788947824349109
2007-04-30,0.0031177028596601547,0.0028420316820398895
2007-05-31,0.003977287046941568,0.0003092638798038016
2007-06-30,0.0051506470673745985,0.010380563677189451
2007-07-31,0.005622190541747864,0.006973047779318761
2007-08-31,0.006607375217792645,0.014013173150136119
2007-09-30,0.006064579239207557,0.008974643260815113
2007-10-31,0.005642270191829987,0.007512594715669972
2007-11-30,0.006295209413872567,0.0014493634132925423
2007-12-31,0.004744954631874732,0.002760599854536296
2008-01-31,0.005587057787682864,0.0061096708950754905
2008-02-29,0.006128030544805887,0.003721861547005912
2008-03-31,0.005971115599680719,0.00020195858742078597
2008-04-30,0.00854888843288137,0.018120761813251056
2008-05-31,0.008683067865676852,0.0018860320697894842
2008-06-30,0.00715557020338663,0.012165821535535285
2008-07-31,0.006875712799671161,0.0015085357704641422
2008-08-31,0.007587480694702496,0.020037644749654034
2008-09-30,0.012070854945537142,0.055165706175278106
2008-10-31,0.01593794884339883,0.0980196632217542
2008-11-30,0.017724803231928148,0.003309384411173878
2008-12-31,0.024225546785032855,0.09215652409538928
2009-01-31,0.019351058778809372,0.0028164449731577735
2009-02-28,0.02383850421456929,0.07169167401906706
2009-03-31,0.024000868867658686,0.0050528385028442745
2009-04-30,0.021473000507606272,0.009059548335296687
2009-05-31,0.028805788904884454,0.0494431791943759
2009-06-30,0.0221870281966714,0.013822344393154594
2009-07-31,0.02010649159495608,0.012903329452606083
2009-08-31,0.02028008964578531,0.006330933421392609
2009-09-30,0.023488741258698938,0.0023817474461510293
2009-10-31,0.033722465250874245,0.008605441789633045
2009-11-30,0.019385243419143293,0.005133718828077819
2009-12-31,0.01651977027885141,0.00036405470362210063
2010-01-31,0.01820135369488483,0.004244625599566277
2010-02-28,0.016396426884271273,0.0008438290557172892
2010-03-31,0.011961290525812901,5.4414811181778024e-05
2010-04-30,0.013742301259944014,0.006183086041920326
2010-05-31,0.015369901282490597,0.008098153491221264
2010-06-30,0.015568568772931076,0.0006552472867779706
2010-07-31,0.01415809020460043,0.0032132270233242444
2010-08-31,0.012022911852702399,0.0009889601237666155
2010-09-30,0.01424150229654112,0.010052278531016694
2010-10-31,0.021190960588559047,0.006461878036860933
2010-11-30,0.01615659933688422,0.0004542613787897054
2010-12-31,0.008614035171738864,0.00021930280598810026
2011-01-31,0.005854036240842654,0.004299747291086884
2011-02-28,0.007128181180913828,0.006437632397384615
2011-03-31,0.006703597900014696,0.0012026778054931653
2011-04-30,0.007136284801219095,0.0047095724617760674
2011-05-31,0.006454151411768039,0.0036382433085970865
2011-06-30,0.005660635725465243,0.0028030789305551664
2011-07-31,0.005613376717836277,0.0009695471803411806
2011-08-31,0.00609374328441014,0.018187302361498642
2011-09-30,0.002824482011734851,0.013542036431987346
2011-10-31,0.005115285017793532,0.0013274761604913018
2011-11-30,0.004993251440155111,0.002697626712524801
2011-12-31,0.007170629363270225,0.009002523475486548
2012-01-31,0.009036087562039843,0.004061390813004089
2012-02-29,0.008115299293719819,0.0054080050984434535
2012-03-31,0.00821040826634699,0.002118981728679607
2012-04-30,0.0072247713082575545,0.005730162207113176
2012-05-31,0.005684060590491309,0.0007920458799500893
2012-06-30,0.005465606079297278,0.00413187453712364
2012-07-31,0.007937254946620719,0.003789823456586655
2012-08-31,0.005109120972915845,0.0050922060423900465
2012-09-30,0.0058646421458138165,0.00032660530975302336
2012-10-31,0.0067043469535471205,0.003030413629815083
2012-11-30,0.007735383062788757,0.00342519144812364
2012-12-31,0.0059302725566094195,0.000532838074023491
2013-01-31,0.0065556202180144085,0.0031081504520982794
2013-02-28,0.008765646354013203,0.002933532074297811
2013-03-31,0.007975898392305562,0.0004243798896440976
2013-04-30,0.007260612504789942,0.012961559878346438
2013-05-31,0.00835728002670053,0.012003446159620283
2013-06-30,0.008165805253257902,0.0055916948512488435
